	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	theta	theta	theta	theta	theta	gamma1	gamma1	gamma1	gamma1	gamma1	gamma2	gamma2	gamma2	gamma2	gamma2	gamma3	gamma3	gamma3	gamma3	gamma3
																				
theta	.	.	.	.	. - .															
gamma1						.	.	.	.	. - .										
gamma2											.	.	.	.	. - .					
gamma3																.	.	.	.	. - .
Constant	-0.309	0.077	-4.031	0.000	-0.459 - -0.159	-0.245	0.022	-10.990	0.000	-0.289 - -0.201	0.021	0.014	1.531	0.126	-0.006 - 0.049	0.034	0.015	2.215	0.027	0.004 - 0.064
																				
