	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	theta	theta	theta	theta	theta	gamma1	gamma1	gamma1	gamma1	gamma1	gamma2	gamma2	gamma2	gamma2	gamma2	gamma3	gamma3	gamma3	gamma3	gamma3
																				
theta	.	.	.	.	. - .															
gamma1						.	.	.	.	. - .										
gamma2											.	.	.	.	. - .					
gamma3																.	.	.	.	. - .
Constant	-0.309	0.059	-5.261	0.000	-0.424 - -0.194	-0.245	0.019	-12.796	0.000	-0.283 - -0.208	0.021	0.014	1.521	0.128	-0.006 - 0.049	0.034	0.013	2.529	0.011	0.008 - 0.060
																				
